ocid,titre,organisme,nb_signaux,signaux,montant,url_seao
ocds-ec9k95-20002555,Francisation à temps partiel auprès de groupes d'immigrantes et d'immigrants,"Ministère de l'Immigration, de la Francisation et de l'Intégration",3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",111513.6,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=e8ac86ea-ac19-4469-9218-291d1aec2dc3
ocds-ec9k95-20028421,Travaux de curetage du béton du stationnement d’Youville,SQI-Direction immobilière Centre-ville de Québec,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",109437.34,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=c3acc55c-db81-42e3-99ce-10bf67cac494
ocds-ec9k95-1807006,Travaux d'aménagement du local ouvrier SQI à EDTR,"SQI-Direction immobilière Mauricie, Centre-du-Québec",3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",109310.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=bce22489-7515-420d-bd39-f80b2f3da590
ocds-ec9k95-1298323,Modification électrique des unités de débordement Bloc A - HPLG,Centre intégré de santé et de services sociaux de Lanaudière,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",107400.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=d302aaa6-955c-4f3e-9489-1e79aee7c664
ocds-ec9k95-20022439,Collecte et transport de matières diverses dans les conteneurs trans-rouliers,Université de Sherbrooke -Service des ressources financières-  Section de l'approvisionnement,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",107004.46,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=c5057f85-7ea2-4d35-b4f8-bd9aac43a47b
ocds-ec9k95-1652195,Acquisition de license informatique - Atlas (Gestion des candidatures),Centre de services scolaire des Patriotes,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",105250.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=8ac47154-d91b-43d3-ab0c-3dfd72310c27
ocds-ec9k95-1611512,Aménagement et agrandissement du foyer Pelletier,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",103791.12,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=80b71f7a-50ff-4365-93ec-445f564a4327
ocds-ec9k95-1786978,Entretien informatique,Garantie construction résidentielle (GCR),3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",102771.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=35f63d67-8ae9-416a-8c25-0bb51df2c654
ocds-ec9k95-20043132,"Mise en œuvre du programme ""Lancement d'une entreprise"" ",Centre de services scolaire de la Rivière-du-Nord,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",100800.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=abdedba6-f56f-4799-9d67-0ada5a5d5467
ocds-ec9k95-20002497,Francisation à temps partiel auprès de groupes d'immigrantes et d'immigrants - À distance,"Ministère de l'Immigration, de la Francisation et de l'Intégration",3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",100320.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=678ab3dd-700e-42ec-b694-9763d7aad0ba
